Name,Website,Initiatives_aims,Type,Other_information,Collector,Region,Country,Tag,Data_origin,Spec_location,Mapping_location,country_iso,Latitude,Longitude
Code for Africa,https://medium.com/code-for-africa,"Code for Africa (CfA) is the continent’s largest network of civic technology and data journalism labs, with teams in 20 countries. CfA builds digital democracy solutions that give citizens unfettered access to actionable information that empowers them to make informed decisions, and which strengthens civic engagement for improved public governance and accountability. This includes building infrastructure like the continent’s largest open data portals at openAFRICA and sourceAFRICA, as well as incubating initiatives as diverse as the africanDRONE network, the PesaCheck fact-checking initiative and the sensors.AFRICA air quality sensor network.",Community,NA,Nomalungelo Maphanga,Africa,Multiple countries,NA,Talarify OLS 6 project (https://openlifesci.org/ols-6/projects-participants/#mapping-the-rsse-landscape-in-africa),NA,Zambia,ZMB,-15,30
The Carpentries,https://docs.carpentries.org/index.html,"The Carpentries teaches foundational coding, and data science skills to researchers worldwide.",Community,NA,Nomalungelo Maphanga,Africa,Multiple countries,NA,Talarify OLS 6 project (https://openlifesci.org/ols-6/projects-participants/#mapping-the-rsse-landscape-in-africa),"South Africa, Botswana, Tunisia, Tanzania and Kenya",Zambia,ZMB,-15,30
South African Genetic society (SAGS),https://sagene.co.za/,"SAGS assists and advises on the establishment of standards of teaching, training and research in genetics in South Africa. It also communicates information to the general public on the value of historic and new developments in genetics, and encourages education and training in this regard. The Society strives to facilitate multi-disciplinary and multi-institutional scientific co-operation in genetics, in the context of Southern Africa and Africa. It supports and fosters genetics through congresses, symposia, workshops, newsletters, and publications, including this website",Community,NA,Nomalungelo Maphanga,Africa,South Africa,NA,Talarify OLS 6 project (https://openlifesci.org/ols-6/projects-participants/#mapping-the-rsse-landscape-in-africa),NA,South Africa,ZAF,-29,24
Code for South Africa,http://code4sa.org/,Code for South Africa is a non-profit civic technology lab. We use data and technology to promote informed decision-making that drives social change.,Community,Changed to OpenUp,Nomalungelo Maphanga,Africa,South Africa,NA,Talarify OLS 6 project (https://openlifesci.org/ols-6/projects-participants/#mapping-the-rsse-landscape-in-africa),NA,South Africa,ZAF,-29,24
OpenUp,https://openup.org.za/,"build tools, open up data, and provide data training which supports an active citizenry and helps communities and governments work better, together.",Civic Tech organisation,Previously Code for South Africa,Nomalungelo Maphanga,Africa,South Africa,NA,Talarify OLS 6 project (https://openlifesci.org/ols-6/projects-participants/#mapping-the-rsse-landscape-in-africa),NA,South Africa,ZAF,-29,24
South African Medical Research Council (SAMRC),https://www.samrc.ac.za/,"to improve the health of the country’s population, through research, development and technology transfer, so that people can enjoy a better quality of life. The scope of the organisation’s research projects includes tuberculosis, HIV/AIDS, cardiovascular and non-communicable diseases, gender and health, and alcohol and other drug abuse. With a strategic objective to help strengthen the health systems of the country – in line with that of the Department of Health, the SAMRC constantly identifies the main causes of death in South Africa.",Research organisation,NA,Nomalungelo Maphanga,Africa,South Africa,NA,Talarify OLS 6 project (https://openlifesci.org/ols-6/projects-participants/#mapping-the-rsse-landscape-in-africa),NA,South Africa,ZAF,-29,24
Human Science Research Council (HSRC),https://hsrc.ac.za/,"The HSRC will be a national, regional and global leader in the production and dissemination of transformative social science and humanities research in the interests of a just and equal soThe HSRC produces leading-edge policy research, through engaged scholarship, to utilise in understanding and  explaining social conditions and informing social change for inclusive growth in communities.",Research organisation,NA,Nomalungelo Maphanga,Africa,South Africa,NA,Talarify OLS 6 project (https://openlifesci.org/ols-6/projects-participants/#mapping-the-rsse-landscape-in-africa),NA,South Africa,ZAF,-29,24
African Population and Health Research Center (APHRC),https://aphrc.org/,APHRC is committed to generating an Africa-led and Africa-owned body of evidence to inform decision making for an effective and sustainable response to the most critical challenges facing the continent.,Research organisation,NA,Nomalungelo Maphanga,Africa,Kenya,NA,Talarify OLS 6 project (https://openlifesci.org/ols-6/projects-participants/#mapping-the-rsse-landscape-in-africa),NA,Kenya,KEN,1,38
afrimapr,https://afrimapr.org/,afrimapr creates R building blocks and learning resources to make it easier to make data-driven maps in Africa.,Community,NA,Nomalungelo Maphanga,Africa,South Africa,NA,Talarify OLS 6 project (https://openlifesci.org/ols-6/projects-participants/#mapping-the-rsse-landscape-in-africa),NA,South Africa,ZAF,-29,24
South Africa R User Groups,https://www.rusergroup.co.za/,"Our purpose is to bring R users together to help each other with common problems, exchange knowledge and share experiences. Secondly, this group intends to spread the use of R in South Africa and show others (also non-R users) the benefits of using R.",Community,NA,Nomalungelo Maphanga,Africa,South Africa,NA,Talarify OLS 6 project (https://openlifesci.org/ols-6/projects-participants/#mapping-the-rsse-landscape-in-africa),NA,South Africa,ZAF,-29,24
The Carpentries in Africa,https://docs.carpentries.org/topic_folders/regional_communities/african_task_force.html,"The Carpentries builds global capacity in essential data and computational skills for conducting efficient, open, and reproducible research. We train and foster an active, inclusive, diverse community of learners and instructors that promotes and models the importance of software and data in research. We collaboratively develop openly-available lessons and deliver these lessons using evidence-based teaching practices. We focus on people conducting and supporting research.",Community,NA,Nomalungelo Maphanga,Africa,South Africa,NA,Talarify OLS 6 project (https://openlifesci.org/ols-6/projects-participants/#mapping-the-rsse-landscape-in-africa),NA,South Africa,ZAF,-29,24
National Water Research Center (NWRC),South Africa,"

The National Water Research Center (NWRC) is a pioneer institution for various water research activities in Egypt. It was established in 1975 as a research entity within the Ministry of Water Res ources and Irrigation (MWRI). Under the umbrella of NWRC, twelve research institutes exert concerted efforts to implement a comprehensive research plan serving on-going projects and national development plans in general.

Each of the twelve institutes is concerned with one research discipline in the field of water engineering and related water issues. Besides, NWRC established a Strategic Research Unit, a Central Laboratory for Environmental Quality Monitoring, a Geographic Information System, Information/ Documentation Center, and a highly specialized Central Library.",Research organisation,NA,Nomalungelo Maphanga,Africa,Egypt,NA,Talarify OLS 6 project (https://openlifesci.org/ols-6/projects-participants/#mapping-the-rsse-landscape-in-africa),NA,Egypt,EGY,27,30
South African Astronomical Observatory (SAAO),https://www.saao.ac.za/,"To utilise the knowledge, technology and other available resources within the SAAO and similar institutions in order to facilitate education enhancement, science communication, socio-economic development and public engagement and thereby contribute to the improvement of the quality of life of all people within reach.",Research organisation,NA,Nomalungelo Maphanga,Africa,South Africa,NA,Talarify OLS 6 project (https://openlifesci.org/ols-6/projects-participants/#mapping-the-rsse-landscape-in-africa),NA,South Africa,ZAF,-29,24
Kenya Medical Research Institute (KEMRI),https://www.kemri.go.ke/,"National diseases surveillance and rapid response capacity for major disease outbreaks (Cholera, Chikungunya Virus, H1N1 Flu, Yellow Fever, Rift Valley Fever, Ebola, Aflatoxicosis etc). In line with the constitutional requirements, KEMRI has developed a comprehensive framework under which the Institute has devolved its research activities and services, through seven regional clusters that serves the forty seven counties under the strategic pillar of health research in the context of devolution. Technical and research support for the Emergency Care of Critically Ill Children (ETAT) guidelines. KEMRI provided Technical Facilitation in development of National Guidelines for Prevention of Cervix, Breast and Prostate cancers. Developed a curriculum and guidelines on biosafety and biosecurity for Health Care Workers in collaboration with MOH. Rationalization and regulation of traditional medicine. Human resource capacity development for research though attachments and in the KEMRI-JKUAT",Research organisation,NA,Nomalungelo Maphanga,Africa,Kenya,NA,Talarify OLS 6 project (https://openlifesci.org/ols-6/projects-participants/#mapping-the-rsse-landscape-in-africa),NA,Kenya,KEN,1,38
World Agroforestry (ICRAF),https://www.worldagroforestry.org/,"Leveraging the world’s largest repository of agroforestry science and information, we develop knowledge practices, from farmers’ fields to the global sphere, to ensure food security and environmental sustainability. Our vision is an equitable world where all people have viable livelihoods supported by healthy and productive landscapes.",Research organisation,NA,Nomalungelo Maphanga,Africa,Multiple countries,NA,Talarify OLS 6 project (https://openlifesci.org/ols-6/projects-participants/#mapping-the-rsse-landscape-in-africa),"Eswatini Zambia, Cameroon
Côte d’Ivoire
Democratic Republic of Congo(DRC)
Mali
Niger
Nigeria
Ethiopia
Kenya
Lesotho
Malawi
Rwanda
Somalia
Tanzania",Zambia,ZMB,-15,30
African Institute for Mathematical Sciences (Rwanda),https://aims.ac.rw/our-global-secretariat/,"The African Institute for Mathematical Sciences (AIMS) is a pan-African network of Centres of Excellence for post-graduate training in mathematical sciences, research and public engagement in Science, Technology, Engineering and Mathematics (STEM). AIMS is enabling Africa’s talented students to become innovators driving the continent’s scientific, educational and economic self-sufficiency.",Research organisation,NA,Nomalungelo Maphanga,Africa,Rwanda,NA,Talarify OLS 6 project (https://openlifesci.org/ols-6/projects-participants/#mapping-the-rsse-landscape-in-africa),NA,Rwanda,RWA,-2,30
African Institute for Mathematical Sciences (Senegal),https://aims-senegal.org/,"The African Institute for Mathematical Sciences (AIMS) is a pan-African network of Centres of Excellence for post-graduate training in mathematical sciences, research and public engagement in Science, Technology, Engineering and Mathematics (STEM). AIMS is enabling Africa’s talented students to become innovators driving the continent’s scientific, educational and economic self-sufficiency.",Research organisation,NA,Nomalungelo Maphanga,Africa,Senegal,NA,Talarify OLS 6 project (https://openlifesci.org/ols-6/projects-participants/#mapping-the-rsse-landscape-in-africa),NA,Senegal,SEN,14,-14
African Institute for Mathematical Sciences (Ghana),https://aims.edu.gh/,"The African Institute for Mathematical Sciences (AIMS) is a pan-African network of Centres of Excellence for post-graduate training in mathematical sciences, research and public engagement in Science, Technology, Engineering and Mathematics (STEM). AIMS is enabling Africa’s talented students to become innovators driving the continent’s scientific, educational and economic self-sufficiency.",Research organisation,NA,Nomalungelo Maphanga,Africa,Ghana,NA,Talarify OLS 6 project (https://openlifesci.org/ols-6/projects-participants/#mapping-the-rsse-landscape-in-africa),NA,Ghana,GHA,8,-2
International Centre of Insect Physiology and Ecology (ICIPE),http://www.icipe.org/,"The Centre’s mission is to use insect science for sustainable development, to ensure food security and improve the overall health of communities in Africa by addressing the interlinked problems of poverty, poor health, low agricultural productivity and environmental degradation.",Research organisation,NA,Nomalungelo Maphanga,Africa,Kenya,NA,Talarify OLS 6 project (https://openlifesci.org/ols-6/projects-participants/#mapping-the-rsse-landscape-in-africa),NA,Kenya,KEN,1,38
Medical Research Council Unit (The Gambia),https://www.mrc.gm/,"The Unit’s investigator-led research is underpinned by the combination of excellent laboratory facilities and easy access to the field with well-defined populations that are highly supportive of our research, excellent clinical services, rigorous ethical procedures and ability to deliver GCP-compliant clinical trials. Our large research portfolio spans basic research to the evaluation of interventions for the control of diseases of public health importance in sub-Saharan Africa.",Research organisation,NA,Nomalungelo Maphanga,Africa,Gambia,NA,Talarify OLS 6 project (https://openlifesci.org/ols-6/projects-participants/#mapping-the-rsse-landscape-in-africa),NA,Gambia,GMB,13.4667,-16.5667
National Institute for Communicable Diseases (NICD),https://www.nicd.ac.za/,"The National Institute for Communicable Diseases (NICD) is a national public health institute for South Africa, providing disease surveillance, specialised diagnostic services, outbreak response, public health research and capacity building to support the government’s response to communicable disease threats.",Research organisation,NA,Nomalungelo Maphanga,Africa,South Africa,NA,Talarify OLS 6 project (https://openlifesci.org/ols-6/projects-participants/#mapping-the-rsse-landscape-in-africa),Johannesburg,South Africa,ZAF,-29,24
National Health Laboratory Service (NHLS),https://www.nhls.ac.za/,"Its activities comprise of Diagnostic Laboratory Services, Research, Teaching and Training, and Production of Sera for Anti-Snake Venom, Reagents and Media.",Research organisation,NA,Nomalungelo Maphanga,Africa,South Africa,NA,Talarify OLS 6 project (https://openlifesci.org/ols-6/projects-participants/#mapping-the-rsse-landscape-in-africa),Johannesburg,South Africa,ZAF,-29,24
National Institute for Occupational Health (NIOH),https://www.nioh.ac.za/,"The National Health Laboratory Service’s (NHLS) Institute for Occupational Health (NIOH), is recognised internationally for excellence in research, services and training to support occupational health services not only in South Africa but also in Southern Africa through its extensive outreach activities and collaboration",Research organisation,NA,Nomalungelo Maphanga,Africa,South Africa,NA,Talarify OLS 6 project (https://openlifesci.org/ols-6/projects-participants/#mapping-the-rsse-landscape-in-africa),Johannesburg,South Africa,ZAF,-29,24
National Biobank,http://nationalbiobank.nhls.ac.za/,"The NHLS Biobank helps to secure and manage collections of biomaterials and its associated data for research, human health and biotechnology development, for the benefit of society. The NHLS Biobank was established in response to the growing burden of communicable and non- communicable diseases in South Africa",Research organisation,NA,Nomalungelo Maphanga,Africa,South Africa,NA,Talarify OLS 6 project (https://openlifesci.org/ols-6/projects-participants/#mapping-the-rsse-landscape-in-africa),Johannesburg,South Africa,ZAF,-29,24
South African Vaccine Producers (SAVP),http://www.savp.co.za/,"Its activities comprise of Diagnostic Laboratory Services, Research, Teaching and Training, and Production of Sera for Anti-Snake Venom, Reagents and Media.",Research organisation,NA,Nomalungelo Maphanga,Africa,South Africa,NA,Talarify OLS 6 project (https://openlifesci.org/ols-6/projects-participants/#mapping-the-rsse-landscape-in-africa),Johannesburg,South Africa,ZAF,-29,24
Agricultural Research Center (Egypt),http://www.arc.sci.eg/,"The overarching goal is to maximize the economic return per unit of land and water. Within the national agricultural development strategies, ARC assumes the following major functions:

Conducting applied and basic research to generate a continuous flow of technologies that help increase productivity and reduce production cost;

Transfer of new technologies to the farming community through extension service; and monitoring their adoption by the end users; and
Human capital development as a continual process.
",Research organisation,NA,Nomalungelo Maphanga,Africa,Egypt,NA,Talarify OLS 6 project (https://openlifesci.org/ols-6/projects-participants/#mapping-the-rsse-landscape-in-africa),NA,Egypt,EGY,27,30
South Arican Weather Service (SAWS),https://www.weathersa.co.za/,"The vision articulates clearly the desired end state in which SAWS is central to a situation where citizens, communities and business sectors are able to use the information, products and services across the weather, climate and related environmental space to support socio-economic development and build resilience.",Research organisation,NA,Nomalungelo Maphanga,Africa,South Africa,NA,Talarify OLS 6 project (https://openlifesci.org/ols-6/projects-participants/#mapping-the-rsse-landscape-in-africa),NA,South Africa,ZAF,-29,24
"CENTRE DE RECHERCHE SUR L'INFORMATION
SCIENTIFIQUE ET TECHNIQUE",https://www.cerist.dz/index.php/fr/,The Research Centre on Scientific and Technical Information is in charge of the fulfilment of research and development programs in the scientific and technical information field.,Research organisation,NA,Nomalungelo Maphanga,Africa,Algeria,NA,Talarify OLS 6 project (https://openlifesci.org/ols-6/projects-participants/#mapping-the-rsse-landscape-in-africa),NA,Algeria,DZA,28,3
African Astronomical Society (AfAS),https://www.africanastronomicalsociety.org/,A professional society that focuses on astronomy education and astronomy research.,Community,Based in SA but community membrs are from all over Africa.,Nomalungelo Maphanga,Africa,Multiple countries,NA,Talarify OLS 6 project (https://openlifesci.org/ols-6/projects-participants/#mapping-the-rsse-landscape-in-africa),Cape Town,Zambia,ZMB,-15,30
Agriculture Research Council (ARC),https://www.arc.agric.za/Pages/Home.aspx,Excellence in research and innovation for sustainable agricultural systems and economic development,Research organisation,NA,Nomalungelo Maphanga,Africa,South Africa,NA,Talarify OLS 6 project (https://openlifesci.org/ols-6/projects-participants/#mapping-the-rsse-landscape-in-africa),Multiple campuses,South Africa,ZAF,-29,24
THE APPLIED CENTRE FOR CLIMATE & EARTH SYSTEM SCIENCE (ACCESS),csir.co.za/applied-centre-climate-earth-system-science,"The Alliance for Collaboration on Climate and Earth Systems Science (ACCESS) is a CSIR-hosted platform for research, education, services and training related to a changing environment.",Research organisation,Hosted by the CSIR,Nomalungelo Maphanga,Africa,South Africa,NA,Talarify OLS 6 project (https://openlifesci.org/ols-6/projects-participants/#mapping-the-rsse-landscape-in-africa),NA,South Africa,ZAF,-29,24
Southern Africa Network for Biosciences (SANBio),https://www.csir.co.za/nepad-sanbio,"The Southern Africa Network for Biosciences (SANBio) is a shared biosciences research, development and innovation platform for working collaboratively to address some of southern Africa’s key biosciences issues in health, nutrition and health-related intervention areas such as agriculture and the environment.",Research organisation,"Hosted by the CSIR. Includes Angola, Botswana, Malawi, Mauritius, Mozambique, Namibia, Lesotho, South Africa, Seychelles, Swaziland, Zambia and Zimbabwe.",Nomalungelo Maphanga,Africa,Multiple countries,NA,Talarify OLS 6 project (https://openlifesci.org/ols-6/projects-participants/#mapping-the-rsse-landscape-in-africa),NA,Zambia,ZMB,-15,30
Biosafety South Africa,https://biosafety.org.za/,"Biosafety South Africa is a national technology platform in service of the country’s biotech regulators, researchers, technology developers and public.

Our mandate is to enable safe, sustainable and compliant research, development, production, use and application of biotechnology - in particular GMOs. We are an initiative of the Department of Science and Technology and funded entirely from public sources.
",Research organisation,NA,Nomalungelo Maphanga,Africa,South Africa,NA,Talarify OLS 6 project (https://openlifesci.org/ols-6/projects-participants/#mapping-the-rsse-landscape-in-africa),Cape Town,South Africa,ZAF,-29,24
Botswana Institute for Technology Research and Innovation (BITRI),http://www.bitri.co.bw/,"The Botswana Institute for Technology Research and Innovation (BITRI) is a parastatal under the Ministry of Tertiary Education, Research, Science and Technology, established in 2012, to conduct needs-based research and development in focused areas. The Mandate of BITRI is to identify, develop and/or adapt appropriate technology solutions that provides sustainable innovative solutions through co-creation and collaboration in line with national priorities and needs of Batswana.",Research organisation,NA,Nomalungelo Maphanga,Africa,Botswana,NA,Talarify OLS 6 project (https://openlifesci.org/ols-6/projects-participants/#mapping-the-rsse-landscape-in-africa),Botswana,Botswana,BWA,-22,24
CapeBio Technologies,https://web.facebook.com/CapeBioSA/?_rdc=1&_rdr,We leverage proprietary bio-discovery technology to enable development of “best-in-class” enzymes and assays. We use our proprietary technology for large scale biomanufacturing of our enzymes and assays.,Research organisation,NA,Nomalungelo Maphanga,Africa,South Africa,NA,Talarify OLS 6 project (https://openlifesci.org/ols-6/projects-participants/#mapping-the-rsse-landscape-in-africa),Pretoria,South Africa,ZAF,-29,24
Future Africa,https://www.futureafrica.science/,"Future Africa is a research institute and pan-African platform at the University of Pretoria that makes possible fundamentally new approaches to research and innovation that span disciplinary fields and geo-political boundaries. More specifically, through the efforts of a growing network of leading scientists and exceptional young talent, Future Africa is set to inspire science excellence to transform Africa and the world.",Research organisation,NA,Nomalungelo Maphanga,Africa,South Africa,NA,Talarify OLS 6 project (https://openlifesci.org/ols-6/projects-participants/#mapping-the-rsse-landscape-in-africa),Pretoria,South Africa,ZAF,-29,24
Africa Business Integration (ABI),https://www.4ir-abi.co.za/,An African Artificial Intelligence systems integration Lab with a mission to empower African developers and businesses with Artificial Intelligence systems and tools.,Research organisation,NA,Nomalungelo Maphanga,Africa,South Africa,NA,Talarify OLS 6 project (https://openlifesci.org/ols-6/projects-participants/#mapping-the-rsse-landscape-in-africa),Cape Town,South Africa,ZAF,-29,24
Africa R Users,https://r4africa.org/,"Africa R is a consortium of passionate Africa R user groups and users innovating with R every day, and are inspired to share their experience as well as communicate their findings to a global audience.",Community,NA,Anelda van der Walt,Africa,Multiple countries,NA,Talarify OLS 6 project (https://openlifesci.org/ols-6/projects-participants/#mapping-the-rsse-landscape-in-africa),NA,Zambia,ZMB,-15,30
Cape Town Python Users,https://ctpug.org.za/,"The Cape Town Python User Group meets once a month (or more), and holds discussions, talks and demos of whatever's currently interesting in the python world.",Community,NA,Anelda van der Walt,Africa,South Africa,NA,Talarify OLS 6 project (https://openlifesci.org/ols-6/projects-participants/#mapping-the-rsse-landscape-in-africa),NA,South Africa,ZAF,-29,24
Gauteng Python Users Group,https://www.meetup.com/Gauteng-Python-Users-Group/,"The GPUG is a diverse group of Pythonistas of varying backgrounds. Our themes focus on a variety of topics geared towards beginners and all the way to experts. Some topics we have covered in the past: AI, web development, data science, scripting, DevOps",Community,NA,Anelda van der Walt,Africa,South Africa,NA,Talarify OLS 6 project (https://openlifesci.org/ols-6/projects-participants/#mapping-the-rsse-landscape-in-africa),NA,South Africa,ZAF,-29,24
R-Ladies Cape Town,https://www.meetup.com/rladies-cape-town,R-Ladies Cape Town is part of R-Ladies Global and was founded to celebrate and promote gender diversity in the R community.,Community,NA,Anelda van der Walt,Africa,South Africa,NA,Talarify OLS 6 project (https://openlifesci.org/ols-6/projects-participants/#mapping-the-rsse-landscape-in-africa),NA,South Africa,ZAF,-29,24
R-Ladies Johannesburg,https://www.meetup.com/rladies-johannesburg,"R-Ladies Johannesburg welcomes members of all R proficiency levels, whether you're a new or aspiring R user, or an experienced R programmer interested in mentoring, networking & expert upskilling. Our non-profit, civil society community is designed to develop our members' R skills & knowledge through social, collaborative learning & sharing. Supporting minority identity access to STEM skills & careers, the Free Software Movement, and contributing to the global R community!",Community,NA,Anelda van der Walt,Africa,South Africa,NA,Talarify OLS 6 project (https://openlifesci.org/ols-6/projects-participants/#mapping-the-rsse-landscape-in-africa),NA,South Africa,ZAF,-29,24
R-Ladies Gabarone,https://www.meetup.com/rladies-gaborone,"R-Ladies Gaborone welcomes members of all R proficiency levels, whether you're a new or aspiring R user, or an experienced R programmer interested in mentoring, networking & expert upskilling. Our community is designed to develop our members' R skills & knowledge through social, collaborative learning & sharing. Supporting minority identity access to STEM skills & careers, the Free Software Movement, and contributing to the global R community!",Community,NA,Anelda van der Walt,Africa,Botswana,NA,Talarify OLS 6 project (https://openlifesci.org/ols-6/projects-participants/#mapping-the-rsse-landscape-in-africa),NA,Botswana,BWA,-22,24
R-Ladies Addis Ababa,https://www.meetup.com/rladies-addis-ababa,"This is a local chapter of R-Ladies Global ( https://www.rladies.org ), an organisation that promotes gender diversity in the R community worldwide. We meetup in person or virtually to learn about the R programming language, algorithms and advanced tools.
",Community,NA,Anelda van der Walt,Africa,Ethiopia,NA,Talarify OLS 6 project (https://openlifesci.org/ols-6/projects-participants/#mapping-the-rsse-landscape-in-africa),NA,Ethiopia,ETH,8,38
DakaR R User Group,https://www.meetup.com/DakaR-R-User-Group/,"Welcome to the Dakar User Group R, R is a free and open source programming language / software for data analysis and visualization. The goal of the Dakar R User Group is to bring together experienced and aspiring R users with different background and field of interest living in Dakar (Sénégal). We also aim at promoting R and the use of open source software for statistical analysis throughout the country in particular and in West-Africa in general.",Community,NA,Anelda van der Walt,Africa,Senegal,NA,Talarify OLS 6 project (https://openlifesci.org/ols-6/projects-participants/#mapping-the-rsse-landscape-in-africa),NA,Senegal,SEN,14,-14
Bamako Data Science,https://www.meetup.com/Bamako-Data-Science/,"Bamako Data Science is meant for everyone who wants to contribute to building a community around Data Science in Bamako. Whether you use R, Python or another programming language, it's meant to be a place for you to share what you do and to find people you can learn from or with. Hopefully, together we'll make it a platform where new ideas emerge, and collaboration starts.",Community,NA,Anelda van der Walt,Africa,Mali,NA,Talarify OLS 6 project (https://openlifesci.org/ols-6/projects-participants/#mapping-the-rsse-landscape-in-africa),NA,Mali,MLI,17,-4
Abidjan R users Meetup,https://www.meetup.com/Abidjan-R-users-Meetup/,This group is therefore intended for young Ivorians in love with technology and data and eager to disrupt the status quo in technology and data analysis.,Community,NA,Anelda van der Walt,Africa,Ivory Coast,NA,Talarify OLS 6 project (https://openlifesci.org/ols-6/projects-participants/#mapping-the-rsse-landscape-in-africa),NA,Ivory Coast,CIV,8,-5
Abidjan R users Meetup,https://www.meetup.com/Abidjan-R-users-Meetup/,This group is therefore intended for young Ivorians in love with technology and data and eager to disrupt the status quo in technology and data analysis.,Community,NA,Anelda van der Walt,Africa,Ivory Coast,NA,Talarify OLS 6 project (https://openlifesci.org/ols-6/projects-participants/#mapping-the-rsse-landscape-in-africa),NA,Ivory Coast,CIV,8,-5
Lagos R User Group,https://www.lagosrusers.com/,NA,Community,NA,Anelda van der Walt,Africa,Nigeria,NA,Talarify OLS 6 project (https://openlifesci.org/ols-6/projects-participants/#mapping-the-rsse-landscape-in-africa),NA,Nigeria,NGA,10,8
University of Ibadan R Users Group (UI RUG),https://www.meetup.com/University-of-Ibadan-R-Users-Group-UI-RUG/,UI RUG is a group of R enthusiasts based in the Department of Statistics University of Ibadan Nigeria.,Community,NA,Anelda van der Walt,Africa,Nigeria,NA,Talarify OLS 6 project (https://openlifesci.org/ols-6/projects-participants/#mapping-the-rsse-landscape-in-africa),NA,Nigeria,NGA,10,8
Vuna SDC,https://www.meetup.com/Vuna-SDC-R-user-group/,"Developers and designers in Abuja, Federal Capital Territory, Nigerian and others around , that are passionate and curious to learn new skills and technologies.",Community,NA,Anelda van der Walt,Africa,Nigeria,NA,Talarify OLS 6 project (https://openlifesci.org/ols-6/projects-participants/#mapping-the-rsse-landscape-in-africa),NA,Nigeria,NGA,10,8
Bauchi R User Group (BauchiRUG),https://www.meetup.com/Bauchi-R-User-Group-BauchiRUG/,"BauchiRUG is a group for R users at all levels (Beginners, Intermediate & Advanced) and from all backgrounds based in Bauchi State and the North eastern part of Nigeria, to meet and discuss R-related topics and to promote the use of R.",Community,NA,Anelda van der Walt,Africa,Nigeria,NA,Talarify OLS 6 project (https://openlifesci.org/ols-6/projects-participants/#mapping-the-rsse-landscape-in-africa),NA,Nigeria,NGA,10,8
R User Group Kano,https://www.meetup.com/r-user-group-kano/,"Kano RUG is a community of R users and enthusiasts from the industry and academia. The community welcome all users at all skill levels who are based in Kano state of Nigeria. We organize meet-ups to learn, connect and discuss about R-programming and related topics as well as to promote the use of R in our statistical projects.",Community,NA,Anelda van der Walt,Africa,Nigeria,NA,Talarify OLS 6 project (https://openlifesci.org/ols-6/projects-participants/#mapping-the-rsse-landscape-in-africa),NA,Nigeria,NGA,10,8
Tunis R User Group,https://www.meetup.com/tunis-r-user-group/,"Tunis R User Group is part of an international mentorship group with a focus on helping more people become active participants and leaders in the R open-source community. Our mission is to promote, educate and advance a diverse R community through outreach, education, conferences, events and social gatherings.",Community,NA,Anelda van der Walt,Africa,Tunisia,NA,Talarify OLS 6 project (https://openlifesci.org/ols-6/projects-participants/#mapping-the-rsse-landscape-in-africa),NA,Tunisia,TUN,34,9
Algiers R User Group,https://web.facebook.com/groups/671457203450306?_rdc=1&_rdr,"This group strives to connect the R user community, in Algiers and near Algiers to promote the sharing membership knowledge and their experiences",Community,NA,Anelda van der Walt,Africa,Algeria,NA,Talarify OLS 6 project (https://openlifesci.org/ols-6/projects-participants/#mapping-the-rsse-landscape-in-africa),NA,Algeria,DZA,28,3
Botswana R Users,https://www.meetup.com/Botswana-R-Users/,This is a group for all those interested in R. In this group we share and learn from each other R programming tools and techniques. You are all welcome to join the group.,Community,NA,Anelda van der Walt,Africa,Botswana,NA,Talarify OLS 6 project (https://openlifesci.org/ols-6/projects-participants/#mapping-the-rsse-landscape-in-africa),NA,Botswana,BWA,-22,24
Johannesburg R User Group (R Programming Language),https://www.meetup.com/Joburg-R-Users-Group/,"Our purpose is to bring R users together to help each other with common problems, exchange knowledge and share experiences.

Secondly, this group intends to spread the use of R in South Africa and show others (also non-R users) the benefits of using R.",Community,NA,Anelda van der Walt,Africa,South Africa,NA,Talarify OLS 6 project (https://openlifesci.org/ols-6/projects-participants/#mapping-the-rsse-landscape-in-africa),NA,South Africa,ZAF,-29,24
EswatiniUseR Group,https://www.meetup.com/EswatiniUseR/,This is a group for anyone interested in learning and sharing best practices in analyzing data in R,Community,NA,Anelda van der Walt,Africa,Eswatini,NA,Talarify OLS 6 project (https://openlifesci.org/ols-6/projects-participants/#mapping-the-rsse-landscape-in-africa),Talarify OLS 6 project (https://openlifesci.org/ols-6/projects-participants/#mapping-the-rsse-landscape-in-africa),Eswatini,SWZ,-26.5,31.5
R-Ladies Rabat,https://www.meetup.com/rladies-rabat-ma,"







This is a local chapter of R-Ladies Global (https://www.rladies.org), an organisation that promotes gender diversity in the R community worldwide. We meetup in person or virtually to learn about the R programming language, algorithms and advanced tools.",Community,NA,Anelda van der Walt,Africa,Morocco,NA,Talarify OLS 6 project (https://openlifesci.org/ols-6/projects-participants/#mapping-the-rsse-landscape-in-africa),NA,Morocco,MAR,32,-5
R-Ladies Algiers,https://www.meetup.com/rladies-algiers/,"This is a local chapter of R-Ladies Global ( https://www.rladies.org ), an organisation that promotes gender diversity in the R community worldwide. We meetup in person or virtually to learn about the R programming language, algorithms and advanced tools.",Community,NA,Anelda van der Walt,Africa,Algeria,NA,Talarify OLS 6 project (https://openlifesci.org/ols-6/projects-participants/#mapping-the-rsse-landscape-in-africa),NA,Algeria,DZA,28,3
